lexeme	systematicDefectiveness
coaceruo	none
coaequo	none
coagmento	none
coalesco	intransitive
coarguo	none
coarto	none
coemo	none
coeo	intransitive
coepio	none
coepto	none
coerceo	none
cogito	none
cognosco	none
cogo	none
cohaereo	intransitive
cohibeo	none
cohonesto	none
cohortor/-o	none
coinquino	none
collabor	deponent
collatro	none
collaudo	none
colleuo	none
collibeo	impersonal
collido	none
colligo1	none
colligo2	none
collino	none
colloco	none
colloquor	deponent
colluceo	intransitive
colluctor	deponent
colludo	intransitive
colluo	none
collustro	none
colo	none
coloro	none
columbor	deponent
combibo	none
comburo	none
comedo	none
comissor	deponent
comitor/-o	none
commaculo	none
commemoro	none
commendo	none
commentor/-o	none
commeo	none
commercor	deponent
commigro	intransitive
commingo	none
comminiscor/-o	none
comminuo	none
commisceo	none
committo	none
commodo	none
commolior/-io	none
commonefacio	none
commonstro	none
commordeo	none
commorior	deponent
commoror/-o	none
commoueo	none
communico/-or	none
communio	none
commuto	none
como1	none
como2	none
compareo	intransitive
comparo1	none
comparo2	none
compedio	none
compello1	none
compello2	none
compenso	none
comperio/-ior	none
compesco	none
competo	none
compilo	none
compingo	none
complano	none
complector/-o	none
compleo	none
complico	none
complodo	none
comploro	none
compono	none
comporto	none
comprecor	deponent
comprehendo	none
comprimo	none
comprobo	none
compungo	none
computo	none
concaleo	intransitive
concalesco	intransitive
concallesco	intransitive
concauo	none
concedo	none
concelebro	none
concerto/-or	none
conci\do"	none
conci'do	intransitive
concieo	none
concilio	none
concinno	none
concino	none
concio	none
concipio	none
concito	none
conclamo	none
concludo	none
concoquo	none
concordo	none
concredo	none
concremo	none
concrepo	none
concresco	intransitive
conculco	none
concumbo	intransitive
concupio	none
concupisco	none
concurro	intransitive
concurso	none
concutio	none
condecoro	none
condemno	none
condico	none
condio	none
condisco	none
condo	none
condoleo	none
condolesco	none
condono	none
condormio	intransitive
conduco	none
conecto	none
confarreo	none
confercio	none
confero	none
conficio	none
confido	none
configo	none
confingo	none
confio	fio
confirmo	none
confiteor	deponent
conflagro	none
conflicto	none
confligo	none
conflo	none
confluo	intransitive
confodio	none
conformo	none
confringo	none
confu\to"	none
confugio	intransitive
confundo	none
confutuo	none
congelo	none
congemo	none
congero	none
conglobo	none
congredior	deponent
congrego	none
congruo	intransitive
conicio	none
coniecto/-or	none
coniungo	none
coniuro	intransitive
connitor	deponent
conniueo	none
conor	deponent
conqueror	deponent
conquiesco	intransitive
conquiro	none
consaluto	none
conscelero	none
conscendo	none
conscisco	none
conscribillo	none
conscribo	none
consecro/-or	none
consector	deponent
consenesco	intransitive
consentio	none
consequor	deponent
consero1	none
consero2	none
conseruo	none
considero	none
consido	intransitive
consigno	none
consilior	deponent
consipio	intransitive
consisto	none
consocio	none
consolo/-or	none
consono	intransitive
conspicio	none
conspicor/-o	none
conspiro	none
conspuo	none
consterno1	none
consterno2	none
constipo	none
constituo	none
consto	intransitive
constringo	none
construo	none
constupro	none
consuefacio	none
consuesco	none
consulo	none
consulto/-or	none
consummo	none
consumo	none
consuo	none
consurgo	intransitive
contabulo	none
contamino	none
contego	none
contemno	none
contemplo/-or	none
contendo	none
contero	none
conterreo	none
contestor	deponent
contexo	none
conticesco	intransitive
contineo	none
contingo1	none
contingo2	none
continuo	none
contionor	deponent
contorqueo	none
contraho	none
contrecto	none
contremisco	intransitive
contremo	intransitive
contribuo	none
contrico	none
contristo	none
contrucido	none
contueor	deponent
contundo	none
conturbo	none
conualesco	intransitive
conuecto	none
conueho/-or	none
conuello	none
conuenio	none
conuerbero	none
conuerro	none
conuerso/-or	none
conuerto	none
conuicior	deponent
conuinco	none
conuiuo	intransitive
conuiuor/-o	none
conuoco	none
conuolo	intransitive
conuoluo	none
conuolutor	deponent
conuomo	none
conuulnero	none
cooperio	none
coopto	none
coorior	deponent
copulo/-or	none
coquo	none
cornicor	deponent
corono	none
corrigo	none
corripio	none
corroboro	none
corrodo	none
corrotundo	none
corrumpo	none
corruo	none
corusco	none
crebresco	intransitive
credo	none
cremo	none
creo	none
crepito	none
crepo	none
cresco	intransitive
criminor/-o	none
criso	intransitive
crispo	none
crucio	none
crudesco	intransitive
cruento	none
cubito	intransitive
cubo	intransitive
culpo	none
cumulo	none
cunctor/-o	none
cuneo	none
cupio	none
curo	none
curro	intransitive
cursito	intransitive
curso	intransitive
curto	none
curuo	none
custodio	none
damno	none
debacchor/-o	none
debello	none
debeo	none
debilito	none
decanto	none
decedo	intransitive
decerno	none
decerpo	none
decerto/-or	none
decet	impersonal
deci\do"	none
deci'do	intransitive
decipio	none
declamo	none
declaro	none
declino	none
decollo	none
decoloro	none
decondo	none
decoquo	none
decoro	none
decresco	none
decumbo	intransitive
decurro	none
decurto	none
decutio	none
dedecet	impersonal
dedecoro	none
dedico	none
dedignor/-o	none
dedisco	none
dedo	none
dedoceo	none
deduco	none
deerro	intransitive
defatigo	none
defendo	none
defenso	none
defero	none
defetiscor	deponent
deficio	none
defigo	none
definio	none
defio	fio
deflagro	none
deflecto	none
defleo	none
defloresco	intransitive
defluo	intransitive
defodio	none
deformo	none
defrico	none
defringo	none
defugio	none
defundo	none
defungor	deponent
degenero	none
dego	none
degrauo	none
degredior	deponent
degusto	none
dehisco	intransitive
dehonesto	none
dehortor	deponent
deicio	none
deiungo	none
delabor	deponent
delecto/-or	none
delego	none
delenio	none
deleo	none
delibero	none
delibo	none
delibro	none
delibuo	none
deligo1	none
deligo2	none
delinquo	none
deliro	none
delitisco	intransitive
deludo	none
demano	intransitive
demereo/-eor	none
demergo	none
demetor/-o	none
demigro	intransitive
deminuo	none
demiror	deponent
demitto	none
demo	none
demolior/-io	none
demonstro	none
demordeo	none
demorior	deponent
demoror	deponent
demoueo	none
demuto	none
denato	intransitive
denego	none
denomino	none
denoto	none
denseo	none
denso	none
denubo	intransitive
denudo	none
denuntio	none
denuo	none
depasco	none
depecto	none
depello	none
dependeo	intransitive
dependo	none
deperdo	none
depereo	intransitive
depilo/-or	none
depingo	none
deplango	none
deploro	none
depluo	intransitive
depono	none
depopulor/-o	none
deporto	none
deposco	none
deprauo	none
deprecor/-o	none
deprehendo	none
deprimo	none
deproelior	deponent
depromo	none
depropero	none
depugno	none
depungo	none
derado	none
derelinquo	none
derepo	none
derideo	none
derigesco	intransitive
deripio	none
deriuo	none
derogo	none
desaeuio	intransitive
descendo	intransitive
descisco	intransitive
describo	none
deseco	none
desero1	none
desero2	none
deseruio	intransitive
desideo	intransitive
desidero	none
desido	intransitive
designo	none
desilio	intransitive
desino	none
desipio	intransitive
desisto	none
desolo	none
despecto	none
despero	none
despicio	none
despolio	none
despondeo	none
despumo	none
despuo	none
desterto	intransitive
destillo	none
destino	none
destituo	none
destringo	none
destruo	none
desudo	none
desuesco	none
desum	sum
desumo	none
detego	none
detergeo	none
determino	none
detero	none
deterreo	none
detestor	deponent
detexo	none
detineo	none
detondeo	none
detorqueo	none
detracto	none
detraho	none
detrecto	none
detrudo	none
detrunco	none
deturbo	none
deueho	none
deuello	none
deueneror	deponent
deuenio	intransitive
deuersor	deponent
deuerto	none
deuincio	none
deuinco	none
deuito	none
deuoco	none
deuolo	intransitive
deuoluo	none
deuoro	none
deuoueo	none
deuro	none
dico1	none
dico2	none
dictito	none
dicto	none
dido	none
diduco	none
diffamo	none
differo	none
diffido	intransitive
diffindo	none
diffingo	none
diffluo	intransitive
diffringo	none
diffugio	intransitive
diffundo	none
diffutuo	none
digero	none
digno/-or	none
digredior	deponent
diiudico	none
dilabor	deponent
dilacero	none
dilanio	none
dilargior	deponent
dilato	none
diligo	none
diluceo	intransitive
dilucesco	intransitive
diluo	none
dimetior	deponent
dimico	intransitive
dimidio	none
dimitto	none
dimoueo	none
dinosco	none
dinumero	none
dirigo	none
dirimo	none
diripio	none
dirumpo	none
diruo	none
discedo	intransitive
discepto	none
discerno	none
discerpo	none
discindo	none
discingo	none
discludo	none
disco	none
discoquo	none
discordo	intransitive
discrepo	intransitive
discribo	none
discrimino	none
discrucio	none
discumbo	intransitive
discupio	intransitive
discurro	intransitive
discurso	intransitive
discutio	none
disicio	none
disiungo	none
disparo	none
dispello	none
dispenso/-or	none
disperdo	none
dispereo	intransitive
dispergo	none
dispertio/-ior	none
dispicio	none
displiceo	intransitive
dispono	none
dispungo	none
disputo	none
dissaepio	none
dissemino	none
dissentio/-ior	none
dissero1	none
dissero2	intransitive
disserto	none
dissideo	intransitive
dissilio	intransitive
dissimulo	none
dissipo	none
dissocio	none
dissoluo	none
dissuadeo	none
dissulto	intransitive
dissuo	none
distendo	none
distermino	none
distineo	none
distinguo	none
disto	intransitive
distorqueo	none
distraho	none
distribuo	none
distringo	none
disturbo	none
ditesco	intransitive
dito	none
diuarico	none
diuello	none
diuendo	none
diuerbero	none
diuerto	intransitive
diuido	none
diuino	none
diuulgo	none
do	none
doceo	none
doleo/-eor	none
dolo	none
dominor	deponent
domito	none
domo	none
dono	none
dormio	none
dormito	intransitive
doto	none
dubito	none
duco	none
ducto	none
dulcesco	intransitive
duplico	none
duresco	intransitive
duro	none
e\do"	none
ebibo	none
eblandior	deponent
ebullio	none
edico	none
edisco	none
edissero	none
e'do	none
edoceo	none
edomo	none
edormio	none
educo1	none
educo2	none
eduro	none
effemino	none
effercio	none
effero1	none
effero2	none
effervesco	intransitive
effervo	intransitive
efficio	none
effingo	none
efflagito	none
effligo	none
efflo	none
effloresco	intransitive
effluo	none
effodio	none
effor	deponent
effreno	none
effrico	none
effringo	none
effugio	none
effulgeo	intransitive
effundo	none
effutuo	none
egeo	none
egero	none
egredior	deponent
eiaculor/-o	none
eicio	none
eiecto	none
eiuro	none
elabor	deponent
elaboro	none
elanguesco	intransitive
elargior	deponent
eleuo	none
elicio	none
elido	none
eligo	none
eliquo	none
eloquor	deponent
eluceo	intransitive
eluctor	deponent
elucubro/-or	none
eludo	none
eluo	none
emancipo	none
emano	intransitive
emarcesco	intransitive
emendo	none
ementior	deponent
emercor	deponent
emereo/-eor	none
emergo	none
emetior	deponent
emico	none
emigro	intransitive
emineo	none
emiror	deponent
emitto	none
emo	none
emolior	deponent
emollio	none
emolo	none
emorior	deponent
emoueo	none
emptito	none
emulgeo	none
emundo	none
emungo	none
emunio	none
enarro	none
enascor	deponent
enato	none
enauigo	none
eneco	none
eneruo	none
eniteo	intransitive
enitesco	intransitive
enitor	deponent
eno	none
enodo	none
enotesco	intransitive
enubo	intransitive
enucleo	none
enumero	none
enuntio	none
eo	intransitive
epoto	none
epulor/-o	none
equito	none
erado	none
erepo	none
erigo	none
eripio	none
erodo	none
erogo	none
erro	none
erubeo	intransitive
erubesco	none
eructo/-or	none
erudio	none
erumpo	none
eruo	none
escendo	none
esurio	none
euado	none
euagor/-o	none
eualesco	intransitive
euanesco	intransitive
eueho	none
euello	none
euenio	intransitive
euerbero	none
euerto	none
euigilo	none
euincio	none
euinco	none
euiro	none
euito	none
euoco	none
euolo	intransitive
euoluo	none
euomo	none
euulgo	none
exacerbo	none
exacuo	none
exaedifico	none
exaequo	none
exaestuo	none
exaggero	none
exagito	none
examino	none
exanimo	none
exardeo	intransitive
exardesco	intransitive
exarmo	none
exaspero	none
exauctoro	none
exaudio	none
excaeco	none
excalceo/-or	none
excandesco	intransitive
excanto	none
excarnifico	none
excauo	none
excedo	none
excello	none
excepto	none
excerno	none
excerpo	none
exci\do"	none
exci'do	intransitive
excio	none
excipio	none
excito	none
exclamo	none
excludo	none
excogito	none
excolo	none
excoquo	none
excresco	intransitive
excrucio	none
excubo	intransitive
exculco	none
excurro	none
excuso	none
excutio	none
exedo	none
exeo	intransitive
exerceo	none
exercito	none
exhalo	none
exhaurio	none
exheredo	none
exhibeo	none
exhilaro	none
exhorreo	intransitive
exhorresco	none
exhortor/-o	none
exigo	none
eximo	none
exinanio	none
existimo	none
exolesco	intransitive
exonero	none
exopto	none
exordior	deponent
exorior	deponent
exorno	none
exoro	none
exosculor	deponent
exosso	none
expallesco	none
expando	none
expatro	none
expauesco	none
expedio	none
expello	none
expendo	none
expergiscor/-o	none
experior/-io	none
experiscor	deponent
expeto	none
expi\lo"	none
expio	none
explano	none
expleo	none
explico	none
explodo	none
exploro	none
expolio	none
expono	none
exporrigo	none
exporto	none
exposco	none
expostulo	none
exprimo	none
exprobro	none
expromo	none
expugno	none
expungo	none
expurgo	none
exquiro	none
exsanio	none
exsatio	none
exscindo	none
exscreo	none
exseco	none
exsecror/-o	none
exsequor	deponent
exsero	none
exserto	none
exsibilo	none
exsicco	none
exsilio	intransitive
exsisto	none
exsoluo	none
exsorbeo	none
exspatior/-o	none
exspecto	none
exspiro	none
exspolio/-or	none
exspuo	none
exsterno	none
exstimulo	none
exstinguo	none
exstirpo	none
exsto	none
exstruo	none
exsudo	none
exsugo	none
exsulto/-or	none
exsupero	none
exsurdo	none
exsurgo	intransitive
extendo	none
extenuo	none
extermino	none
extero	none
exterreo	none
extimesco	none
extollo	none
extorqueo	none
extraho	none
extrico	none
extrudo	none
extundo	none
exturbo	none
exubero	none
exulcero	none
exulo/-or	none
exundo	none
exuo	none
exuro	none
fabrico/-or	none
fabulor/-o	none
facesso	none
facio	none
factito	none
faenero/-or	none
fallo	none
famulor/-o	none
fano/-or	none
farcio	none
fascino	none
fastidio	none
fastigo	none
fateor	deponent
fatigo	none
fatisco/-or	none
faueo	intransitive
febricito	intransitive
fecundo	none
fello	none
fenestro	none
ferio	none
fero	none
feruefacio	none
ferueo	intransitive
feruesco	intransitive
feruo	intransitive
festino	none
fido	intransitive
figo	none
figuro	none
findo	none
fingo	none
finio	none
fio	intransitive
firmo	none
flagello	none
flagito	none
flagro	none
flammo	none
flaueo	intransitive
flauesco	intransitive
flecto	none
fleo	none
flo	none
floreo	intransitive
fluctuo/-or	none
fluito	intransitive
fluo	intransitive
focilo/-or	none
fodio	none
foedo	none
for	deponent
formido	none
formo	none
foro	none
fortuno	none
foueo	none
fragro	intransitive
frango	none
fraudo	none
fremo	none
frendo	none
freno	none
frequento	none
frico	none
frigeo	intransitive
frigero	none
frigesco	intransitive
frondeo	intransitive
frondesco	intransitive
frumentor	deponent
fruor	deponent
frustror/-o	none
frutico/-or	none
fuco	none
fugio	none
fugito	none
fugo	none
fulcio	none
fulgeo	none
fulgo	none
fulgurio	none
fulmino	none
fumo	intransitive
fundo1	none
fundo2	none
funero/-or	none
funesto	none
fungor/-o	none
furio	none
furo	intransitive
furor/-o	none
futuo	none
gannio	intransitive
garrio	none
gaudeo/-eor	none
gelo	none
gemino	none
gemo	none
genero	none
geno	none
germino	none
gero	none
gestio	none
gesto	none
gigno	none
glacio	none
glisco/-or	none
glomero	none
glorior	deponent
glubo	none
gluttio	none
gradior	deponent
grassor	deponent
gratificor/-o	none
grator	deponent
gratulor	deponent
grauesco	none
grauo	none
grego/-or	none
grundio	none
guberno	none
gusto	none
gypso	none
habeo	none
habito	none
haereo	intransitive
haesito	intransitive
halo	none
harpago	none
haurio	none
hebeo	intransitive
hebesco	intransitive
hebeto	none
helluor	deponent
hiberno/-or	none
hiemo	none
hilaro	none
hio	none
hisco	none
hiulco	none
honesto	none
honoro/-or	none
horreo	none
horresco	none
horrifico	none
hortor/-o	none
hospitor/-o	none
humeo	intransitive
humo	none
iaceo	intransitive
iacio	none
iacto	none
iaculor/-o	none
icio	none
ico	none
ignoro	none
ignosco	none
illabor	deponent
illaboro	intransitive
illacrimo/-or	none
illaqueo	none
illicio	none
illido	none
illigo	none
illino	none
illuceo	intransitive
illucesco	none
illudo	none
illumino	none
illustro	none
imaginor/-o	none
imbibo	none
imbuo	none
imitor/-o	none
immeio	intransitive
immergo	none
immigro	intransitive
immineo	intransitive
imminuo	none
immisceo	none
immitto	none
immolo	none
immorior	deponent
immoror	deponent
immugio	intransitive
immunio	none
immurmuro	none
immuto	none
impallesco	intransitive
impedio	none
impello	none
impendeo	none
impendo	none
imperito	none
impero	none
impertio/-ior	none
impetro	none
impingo	none
impio	none
implecto	none
impleo	none
implico	none
imploro	none
implumbo	none
impono	none
importo	none
imprecor	deponent
imprimo	none
improbo	none
impugno	none
imputo	none
inaedifico	none
inambulo	intransitive
inardesco	intransitive
inaresco	intransitive
inauro	none
incalesco	none
incandesco	intransitive
incanesco	intransitive
incedo	none
incendo	none
incero	none
incesso	none
incesto	none
inchoo	none
inci\do"	none
inci'do	none
incingo	none
incino	none
incipio	none
incito	none
inclaresco	intransitive
inclino	none
includo	none
incolo	none
incoquo	none
increbresco	intransitive
increpito	none
increpo/-or	none
incresco	intransitive
incubo	none
inculco	none
incumbo	none
incurro	none
incursito	intransitive
incurso/-or	none
incuruo	none
incuso	none
incutio	none
indago/-or	none
indecoro	none
indico1	none
indico2	none
indigeo	none
indignor/-o	none
indo	none
indolesco	intransitive
indormio	intransitive
induco	none
indulgeo	none
induo	none
induresco	intransitive
induro	none
inebrio	none
ineo	none
ineptio	intransitive
inerro	none
inesco	none
infamo	none
infatuo	none
infenso	none
infero	none
infesto/-or	none
inficio	none
inficisco	none
infigo	none
infindo	none
infio	fio
infirmo/-or	none
infitior	deponent
inflammo	none
inflecto	none
infligo	none
inflo	none
influo	intransitive
infodio	none
informo	none
infremo	intransitive
infrendo	intransitive
infringo	none
infulcio	none
infundo	none
infusco	none
ingemesco	none
ingemino	none
ingemo	none
ingenero	none
ingero	none
ingrauesco	none
ingredior	deponent
ingruo	intransitive
inhabito	none
inhaereo	intransitive
inhibeo	none
inhio	none
inhorreo	intransitive
inhorresco	none
inicio	none
inimico	none
initio	none
iniungo	none
innascor	deponent
innato	none
innecto	none
innitor	deponent
inno	none
innotesco	intransitive
innuo	intransitive
innutrio	none
inolesco	none
inquam	inquam
inquieto	none
inquino	none
inquiro	none
insanio	intransitive
inscribo	none
insculpo	none
inseco	none
insector/-o	none
insenesco	intransitive
insequor	deponent
insero1	none
insero2	none
inserto	none
inseruio	none
insideo	none
insidior/-o	none
insido	none
insignio	none
insilio	none
insimulo	none
insinuo	none
insisto	none
insolesco	intransitive
insono	none
inspecto	none
inspicio	none
inspico	none
inspiro	none
inspuo	none
inspurco	none
instauro	none
insterno	none
instigo	none
instillo	none
instinguo	none
instituo	none
insto	none
instrepo	none
instringo	none
instruo	none
insuesco	none
insulto	none
insum	sum
insumo	none
insuo	none
insurgo	none
insusurro	none
intabesco	intransitive
intego	none
integro	none
intellego	none
intendo	none
intento	none
intepeo	intransitive
intepesco	intransitive
interaresco	intransitive
intercedo	intransitive
interci\do"	none
interci'do	intransitive
intercipio	none
intercludo	none
intercurso	none
interdico	none
intereo	intransitive
interequito	none
interficio	none
interfluo	none
interfor	deponent
interfundo	none
interiaceo	none
intericio	none
interimo	none
interiungo	none
interlabor	deponent
interlego	none
interlino	none
interloquor	deponent
interluceo	intransitive
interluo	none
intermisceo	none
intermitto	none
intermorior	deponent
internascor	deponent
interniteo	intransitive
internosco	none
interpello	none
interpono	none
interpretor/-o	none
interpungo	none
interquiesco	intransitive
interrogo	none
interrumpo	none
interscindo	none
intersum	sum
interuello	none
interuenio	none
interuerto	none
interuiso	none
intexo	none
intono	none
intorqueo	none
intremo	intransitive
intro	none
introduco	none
introeo	intransitive
intromitto	none
introrumpo	intransitive
introspicio	none
intueor	deponent
intumesco	intransitive
inuado	none
inueho	none
inuenio	none
inuergo	none
inuerto	none
inuestigo	none
inuestio	none
inueterasco	intransitive
inuideo	none
inuigilo	none
inuisito	none
inuiso	none
inuito	none
inumbro	none
inundo/-or	none
inuoco	none
inuolito	intransitive
inuolo	none
inuoluo	none
inuro	none
iocor/-o	none
irascor/-o	none
irrepo	none
irretio	none
irri\to"	none
irrideo	none
irrigo	none
irrogo	none
irroro	none
irrumo	none
irrumpo	none
irruo	none
itero	none
iubeo	none
iudico	none
iugo	none
iugulo	none
iungo	none
iurgo/-or	none
iuro/-or	none
iuuenesco	intransitive
iuuo	none
labefacio	none
labefacto	none
labefio	fio
labo	intransitive
labor	deponent
laboro	none
lacero	none
lacesso	none
lacrimo/-or	none
lacteo	intransitive
lacto	none
laedo	none
laeto/-or	none
lallo	intransitive
lambo	none
lamento/-or	none
lancino	none
langueo	intransitive
languesco	intransitive
lanio	none
lapso/-or	none
laqueo	none
largior/-io	none
lasciuio	intransitive
lasso	none
lateo	none
la'tito	none
latro	none
laudo	none
lauo1	none
lauo2	none
laxo	none
le\uo"	none
lectito	none
lego1	none
lego2	none
lenio	none
lenocinor	deponent
lentesco	intransitive
lento	none
le'uo	none
libeo/-et	intransitive/impersonal
libero/-or	none
libo	none
libro	none
liceo/-eor/-et	none
ligo	none
lingo	none
linio	none
lino	none
linquo	none
lippio	intransitive
liquefacio	none
liqueo	intransitive
liquesco	intransitive
liquo	none
liquor	deponent
litigo	intransitive
lito/-or	none
liueo	intransitive
loco	none
locupleto	none
loquor/-o	none
lorico	none
lubrico	none
luceo	intransitive
lucesco	none
lucrifico	none
lucror/-o	none
luctor/-o	none
lucubro	none
ludificor/-o	none
ludo	none
lugeo	none
luo1	none
luo2	none
lustro/-or	none
luto	none
luxo	none
luxurio/-or	none
lympho	none
macero	none
machinor	deponent
macto	none
maculo	none
madefacio	none
madefio	fio
madeo	intransitive
madesco	intransitive
maereo/-eor	none
malaxo	none
maledico	none
malefacio	none
malo	malo
mancipo	none
mando	none
mando/-or	none
manduco/-or	none
maneo	none
manifesto	none
mano	none
mansito	intransitive
mansuefacio	none
mansuefio	fio
mansuesco	none
manu-mitto	none
